No,label,large classification,small classification,//purl.obolibrary.org/obo/results_in_division_of,住所,電話,Fax,lat,long,休日,available time,the closure,the nursing,diaper substitute,attention,駐車場,URL
1,子育て総合支援センター（カンガルーの森）,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市北園町６－３０,072-686-3030,,34.852182,135.621808,月～土,9:00～19:00,日・祝・休日、年末年始,あり,あり,プレイルームは10:00～17:00,,http://www.city.takatsuki.osaka.jp/kakuka/kodomo/kosodat/index.html
2,富田子育て支援センター,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市富田町二丁目５－１,072-694-9177,,34.832869,135.590901,月～土,月～金（9:30～16:00）　土（9:30～12:00）,日・祝・休日、年末年始,あり,あり,,,http://www.city.takatsuki.osaka.jp/waiwaicafe/odekake/shiencenter/tonda/index.html
3,春日子育て支援センター,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市春日町２２－２,072-673-5211,,34.836906,135.627411,月～土,月～金（9:30～16:00）　土（9:30～12:00）,日・祝・休日、年末年始,あり,あり,,,http://www.city.takatsuki.osaka.jp/waiwaicafe/odekake/shiencenter/kasuga/index.html
4,阿武山たつの子子育て支援センター,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市阿武野二丁目２－１,072-692-0313,,34.859740,135.578067,月～土（おむつ替え・授乳は第2土曜のぞく）,10:00～15:00,日・祝・休日、年末年始,あり,あり,,,http://www.city.takatsuki.osaka.jp/waiwaicafe/odekake/shiencenter/abuyama/index.html
5,聖ヶ丘子育て支援センター,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市芝谷町１９－７,072-689-8721,,34.867546,135.606941,月～金,9:30～15:30,土・日・祝・休日、年末年始,あり,あり,,,http://www.city.takatsuki.osaka.jp/waiwaicafe/odekake/shiencenter/shibatani/index.html
6,津之江さくら子育て支援センター,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市津之江町一丁目３７－９,072-668-1211,,34.840042,135.607563,月～金,10:00～15:00,土・日・祝・休日、年末年始,あり,あり,,,http://www.city.takatsuki.osaka.jp/waiwaicafe/odekake/shiencenter/tsunoe/index.html
7,庄所子育てすくすくセンター,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市南庄所町３－３,072-674-3080,072-674-3080,34.836925,135.614693,月～土,10:00～17:00,日・祝・休日、年末年始,あり,あり,,,http://www.city.takatsuki.osaka.jp/kakuka/kodomo/kosodat/gyomuannai/sukusukusenta.html
8,ティピーおやこの広場,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市玉川二丁目２－３,072-678-6287,,34.814189,135.602462,月～金,10:00～16:00,土・日・祝・休日、年末年始,あり,あり,,,http://www.city.takatsuki.osaka.jp/waiwaicafe/odekake/tsudoi/01/
9,ぱれっとひろば,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市大蔵司二丁目５２－１１,072-687-3565,,34.86241,135.59875,月・火・木・金・土,10:00～16:00　（土は15:00まで）,水・日・祝・休日、年末年始,あり,あり,,,http://www.city.takatsuki.osaka.jp/waiwaicafe/odekake/tsudoi/4/
10,チャムきっずぱーく,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市古曽部町一丁目１－８,072-685-6336,,34.855296,135.619209,月～金,10:30～15:30,土・日・祝・休日、年末年始,あり,あり,,,http://www.city.takatsuki.osaka.jp/waiwaicafe/odekake/tsudoi/02/
11,ファミリーポートたかつき,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市宮野町２－３,072-662-8250,,34.85398,135.637915,月～金,10:00～15:00,土・日・祝・休日、年末年始,あり,あり,,,http://www.city.takatsuki.osaka.jp/waiwaicafe/odekake/tsudoi/3/
12,子育てカフェ「どうぞのおいす」,子育て支援施設,赤ちゃんの駅,子育て支援施設,高槻市芥川町二丁目１１－１１,072-685-2224,,34.852805,135.613351,月・火・木・金・土,10:30～15:30,水・日・祝・休日、年末年始,あり,あり,,,http://www.city.takatsuki.osaka.jp/waiwaicafe/odekake/tsudoi/5/
